sample_index,file_name,user_id,position_id,action_id,frames,duration_seconds,median_interval_seconds,p90_interval_seconds,max_interval_seconds,duplicate_timestamp_intervals,valid_frame_rate_hz,default_half_window,default_full_window_frames,default_window_median_span_seconds,default_window_p90_span_seconds,default_window_median_fraction_of_duration,default_window_frame_fraction,sample_not_longer_than_default_window
696,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position4_activity3/20250813=185715_mimo5s_part0.csv,0,4,3,17,4.36425,0.16553550000000028,0.7695124999999998,1.085086,0,3.666151114166237,5,11,2.1764250000000005,3.1685636,0.49869393366557835,0.6470588235294118,0
697,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user2_position4_activity3/20250813=185402_mimo5s_part0.csv,2,4,3,24,4.267577,0.15007700000000002,0.40935039999999995,0.788766,0,5.389475104960027,5,11,1.7489759999999999,2.0368309,0.409828809181416,0.4583333333333333,0
698,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position4_activity3/20250813=185617_mimo5s_part0.csv,0,4,3,22,3.407187,0.0922115,0.5499068,0.579642,1,6.163442159177057,5,11,1.0435439999999998,2.3833182000000006,0.3062772897407744,0.5,0
699,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position4_activity3/20250813=185705_mimo5s_part0.csv,0,4,3,22,5.5030909999999995,0.1118094999999999,0.7774232000000005,1.2140329999999997,1,3.8160372052724556,5,11,2.1173205,3.6106734000000005,0.38475113349933704,0.5,0
700,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position4_activity3/20250813=185505_mimo5s_part0.csv,0,4,3,28,4.976211,0.13910950000000033,0.4718485,0.7482539999999998,1,5.42581494233263,5,11,1.5069494999999997,2.7007544999999995,0.30283070794224753,0.39285714285714285,0
701,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user2_position4_activity3/20250813=185217_mimo5s_part0.csv,2,4,3,37,4.887162,0.09387349999999994,0.3339599999999999,0.721092,0,7.366238319908364,5,11,1.0496889999999999,1.9385649999999999,0.21478498154961917,0.2972972972972973,0
702,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position4_activity3/20250813=185636_mimo5s_part0.csv,0,4,3,25,5.035595,0.08586899999999975,0.5738964,1.36038,1,4.766070345212433,5,11,1.923033,2.5118219999999996,0.38188793975687085,0.44,0
703,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position4_activity3/20250813=185626_mimo5s_part0.csv,0,4,3,15,4.512715,0.263825,0.6450051999999997,1.0927130000000003,1,3.1023452622201932,5,11,2.8765140000000002,3.706252,0.6374242556864327,0.7333333333333333,0
704,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position4_activity3/20250813=185608_mimo5s_part0.csv,0,4,3,14,5.225994,0.31211399999999934,0.6857648000000001,2.024966,0,2.4875650450421487,5,11,3.4602699999999995,4.3386375,0.6621266691083073,0.7857142857142857,0
705,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position4_activity3/20250813=185550_mimo5s_part0.csv,0,4,3,25,6.335141999999999,0.2042009999999994,0.5874138000000001,1.693153,1,3.7883917992682723,5,11,1.8817380000000004,4.150760999999999,0.29703170031547843,0.44,0
706,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position8_activity3/20250813=193657_mimo5s_part0.csv,0,8,3,11,3.9912859999999997,0.41640249999999995,0.8049866999999999,1.059288,0,2.5054581405592082,5,11,3.24184,3.979962,0.8122294418390464,1.0,1
707,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position4_activity3/20250813=185559_mimo5s_part0.csv,0,4,3,14,3.390704,0.07517200000000024,0.33940060000000016,1.9301959999999998,0,3.834012051774499,5,11,1.725941,2.8572232,0.5090214303578254,0.7857142857142857,0
708,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position8_activity3/20250813=193733_mimo5s_part0.csv,0,8,3,16,4.2135039999999995,0.15525900000000004,1.1460676000000007,1.398542,2,3.559982380460539,5,11,2.1617324999999994,2.438784,0.5130486407512607,0.6875,0
709,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position4_activity3/20250813=185646_mimo5s_part0.csv,0,4,3,31,4.830432,0.025387499999999896,0.3385292999999998,1.454464,0,6.210624639783771,5,11,0.8564639999999999,2.925435,0.17730588071625888,0.3548387096774194,0
710,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position8_activity3/20250813=193557_mimo5s_part0.csv,0,8,3,15,5.442654999999999,0.31181400000000004,0.8699548,1.4234630000000004,1,2.5722740096515397,5,11,3.564413,4.448524,0.6549033513974338,0.7333333333333333,0
711,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position8_activity3/20250813=193801_mimo5s_part0.csv,0,8,3,14,4.486013,0.23170400000000013,0.6596222000000003,1.5639279999999998,0,2.897896194237511,5,11,3.192265,4.0854933,0.7116040457305852,0.7857142857142857,0
712,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position8_activity3/20250813=193627_mimo5s_part0.csv,0,8,3,17,4.749143,0.16497349999999994,0.519907,1.6891909999999999,0,3.3690288963714083,5,11,2.96361,3.5500996000000002,0.6240304829734543,0.6470588235294118,0
713,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position8_activity3/20250813=193607_mimo5s_part0.csv,0,8,3,15,4.916493,0.20938500000000015,1.2340088000000007,1.4812880000000002,1,2.847558208666218,5,11,2.5664000000000002,2.9773137999999997,0.5219980990514987,0.7333333333333333,0
714,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position8_activity3/20250813=193724_mimo5s_part0.csv,0,8,3,15,6.165144,0.20456299999999983,1.2496814000000007,2.769128,1,2.2708309814012457,5,11,3.022703,5.4259828,0.4902891157124635,0.7333333333333333,0
715,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user2_position4_activity3/20250813=185352_mimo5s_part0.csv,2,4,3,67,4.854317,0.01255699999999993,0.265398,0.486012,0,13.596145451564041,5,11,0.7167690000000002,0.9653345999999999,0.14765599362381984,0.16417910447761194,0
716,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position4_activity3/20250813=185514_mimo5s_part0.csv,0,4,3,35,6.795487,0.12205099999999991,0.5871810000000003,1.113375,1,5.0033205861478365,5,11,1.046347,3.8874954000000006,0.15397674956923615,0.3142857142857143,0
717,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position8_activity3/20250813=193617_mimo5s_part0.csv,0,8,3,30,4.552296,0.11123399999999994,0.3066451999999997,0.6740769999999996,0,6.370411765842994,5,11,1.3903205,1.7769661,0.30541083005147296,0.36666666666666664,0
718,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position8_activity3/20250813=193811_mimo5s_part0.csv,0,8,3,18,5.002286,0.18150200000000005,0.4562449999999999,2.184701,1,3.3984462303834686,5,11,2.1102119999999998,3.0557482,0.4218495303947035,0.6111111111111112,0
719,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position8_activity3/20250813=193706_mimo5s_part0.csv,0,8,3,12,5.189068,0.2895759999999999,1.3117465,1.478332,1,2.1198411737907463,5,11,3.1129919999999998,5.0469526,0.5999135104801093,0.9166666666666666,0
720,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position4_activity3/20250813=185532_mimo5s_part0.csv,0,4,3,38,5.69172,0.03576800000000002,0.2294336,2.7490279999999996,0,6.500671150372822,5,11,0.7355665000000005,4.0557362,0.12923448447920846,0.2894736842105263,0
721,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position8_activity3/20250813=193752_mimo5s_part0.csv,0,8,3,24,5.435185,0.09460999999999986,0.4575121999999999,1.4659309999999999,0,4.231686685917775,5,11,1.893835,3.1303180999999998,0.3484398415141343,0.4583333333333333,0
722,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position8_activity3/20250813=193637_mimo5s_part0.csv,0,8,3,16,3.226244,0.16090500000000008,0.4873598,0.806881,2,4.6493693595400725,5,11,2.0186805,2.3880584999999996,0.6257060842267355,0.6875,0
723,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user2_position4_activity3/20250813=185330_mimo5s_part0.csv,2,4,3,73,5.0189129999999995,0.014835999999999946,0.23179249999999976,0.47803799999999974,0,14.345735819688448,5,11,0.586938,1.180077,0.11694524292411525,0.1506849315068493,0
724,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position8_activity3/20250813=193715_mimo5s_part0.csv,0,8,3,15,4.605039,0.2643089999999999,0.7053212,0.8989389999999999,1,3.040147977031248,5,11,2.561168,3.1056204,0.5561664081455119,0.7333333333333333,0
