sample_index,file_name,user_id,position_id,action_id,half_window,full_window_frames,frames,duration_seconds,median_span_seconds,p25_span_seconds,p75_span_seconds,p90_span_seconds,max_span_seconds,median_fraction_of_sample_duration,nominal_frame_fraction_of_sample
9,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122304_mimo5s_part0.csv,1,8,1,2,5,8,4.9874089999999995,1.7555599999999998,1.3559774999999998,3.04771925,3.2349638,3.5175509999999997,0.3519984023768654,0.625
9,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122304_mimo5s_part0.csv,1,8,1,3,7,8,4.9874089999999995,2.5418819999999998,1.9396897499999994,3.6314314999999997,4.180123099999999,4.66324,0.5096598253722524,0.875
9,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122304_mimo5s_part0.csv,1,8,1,5,11,8,4.9874089999999995,4.8253245,3.472282,4.9874089999999995,4.9874089999999995,4.9874089999999995,0.9675012616771554,1.0
10,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122241_mimo5s_part0.csv,1,8,1,1,3,3,1.3911769999999999,1.130704,0.6955884999999999,1.2609404999999998,1.3390824,1.3911769999999999,0.8127678936612667,1.0
10,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122241_mimo5s_part0.csv,1,8,1,2,5,3,1.3911769999999999,1.3911769999999999,1.3911769999999999,1.3911769999999999,1.3911769999999999,1.3911769999999999,1.0,1.0
10,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122241_mimo5s_part0.csv,1,8,1,3,7,3,1.3911769999999999,1.3911769999999999,1.3911769999999999,1.3911769999999999,1.3911769999999999,1.3911769999999999,1.0,1.0
10,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122241_mimo5s_part0.csv,1,8,1,5,11,3,1.3911769999999999,1.3911769999999999,1.3911769999999999,1.3911769999999999,1.3911769999999999,1.3911769999999999,1.0,1.0
11,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122230_mimo5s_part0.csv,1,8,1,1,3,8,3.434678,0.7319825000000001,0.28524799999999995,1.4489085,1.7450750999999998,1.9615129999999996,0.21311531968935665,0.375
11,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122230_mimo5s_part0.csv,1,8,1,2,5,8,3.434678,1.6759095,0.401256,2.2749935,3.033422,3.033422,0.48793787947516476,0.625
11,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122230_mimo5s_part0.csv,1,8,1,3,7,8,3.434678,2.6980955,1.640493,3.035722,3.1508223999999996,3.4032899999999997,0.7855453990155701,0.875
