half_window,full_window_frames,sample_index,file_name,user_id,position_id,action_id,frames,values,replaced_values,mad_zero_values,zero_mad_replacements,frames_with_any_replacement,frames_with_at_least_1pct_channels_replaced,absolute_change_sum,raw_total_variation,filtered_total_variation,raw_dynamic_peak_sum,filtered_dynamic_peak_sum,waveform_correlation,normalized_mae,high_motion_values,high_motion_replacements,high_motion_replacement_rate,high_motion_replacement_enrichment,median_window_span_seconds,p90_window_span_seconds,median_window_fraction_of_sample,replacement_run_count,replacement_rate,mad_zero_rate,zero_mad_share_of_replacements,total_variation_retention,dynamic_peak_retention
5,11,86,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position6_activity1/20250813=150558_mimo5s_part0.csv,1,6,1,12,18432,1471,68,2,12,6,1248597.8805461763,5831540.568274444,4531162.4401588375,1219008.576549938,907594.3481301185,0.8567638996232805,0.13669757325226792,3072,388,0.12630208333333334,1.5825968728755948,3.5496535,4.6780368999999995,0.7084998137760977,1268,0.0798068576388889,0.003689236111111111,0.0013596193065941536,0.7770095032537193,0.744534833954007
5,11,87,/home/test/bupt_hjk/sdp_dataset/elderAL/action2_fall_new/user1_position6_activity2/20250814=001238_mimo5s_part0.csv,1,6,2,10,15360,2676,62,9,9,5,1507812.185686175,3483802.993303364,637300.0305183568,995008.423861918,193108.0714839967,0.8164818815192294,0.21094611872229616,3072,1192,0.3880208333333333,2.227204783258595,1.6026629999999997,2.351803,0.6814614149229336,2663,0.17421875,0.004036458333333334,0.0033632286995515697,0.182932281688542,0.1940768207112136
5,11,88,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user1_position6_activity3/20250813=191539_mimo5s_part0.csv,1,6,3,11,16896,2862,33,0,10,6,2340869.7728018444,4945064.935396319,2211279.388604879,1423922.463932749,744949.1663909797,0.739835766530471,0.2669826741505713,3072,1219,0.3968098958333333,2.342592592592592,3.6331849999999997,5.100382,0.6994807779647628,2463,0.16938920454545456,0.001953125,0.0,0.4471689285163365,0.523166945715215
5,11,89,/home/test/bupt_hjk/sdp_dataset/elderAL/action5_drink_new/user1_position6_activity5/20250813=162230_mimo5s_part0.csv,1,6,5,3,4608,577,90,27,3,3,154771.02283846354,470972.0244248481,305764.0139988266,316904.99667720706,176455.9471794987,0.9694735761414388,0.07335134715609212,3072,466,0.15169270833333334,1.2114384748700173,1.8520379999999999,1.8520379999999999,1.0,577,0.1252170138888889,0.01953125,0.04679376083188908,0.6492190579094931,0.5568102397553331
5,11,90,/home/test/bupt_hjk/sdp_dataset/elderAL/action6_sit_TV_new/user1_position6_activity6/20250813=174415_mimo5s_part0.csv,1,6,6,11,16896,2284,87,27,11,9,1729230.770185755,3957050.9411685364,2075001.6831979938,1235616.5938535896,608717.3476011569,0.7331935024849295,0.23344772216873133,3072,806,0.2623697916666667,1.9408931698774081,4.059698,5.122427,0.7783685638415154,1628,0.13517992424242425,0.005149147727272727,0.011821366024518389,0.5243808366503454,0.4926425807399645
5,11,91,/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user1_position7_activity0/20250813=212115_mimo5s_part0.csv,1,7,0,18,27648,4360,391,85,17,10,2676939.9883527835,4666621.572491879,543438.9577578473,1114884.0546506876,87596.36239834831,0.8056416724973889,0.2014771516603437,3072,1449,0.4716796875,2.9910550458715592,1.9037145,3.0128049,0.4468947658521195,4070,0.15769675925925927,0.014142071759259259,0.0194954128440367,0.11645233051705588,0.07856993023888369
5,11,92,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position7_activity1/20250813=121435_mimo5s_part0.csv,1,7,1,3,4608,573,9,0,3,3,158617.48459816736,612474.6728947695,409352.23520995816,354733.24754851696,211633.44218289555,0.972945508155938,0.07161943478025888,3072,403,0.13118489583333334,1.0549738219895288,2.5727729999999998,2.5727729999999998,1.0,573,0.12434895833333333,0.001953125,0.0,0.6683578167815762,0.5965988348863477
5,11,93,/home/test/bupt_hjk/sdp_dataset/elderAL/action2_fall_new/user1_position7_activity2/20250814=001943_mimo5s_part0.csv,1,7,2,4,6144,1200,36,6,3,2,1134064.5646732785,1647379.9753485257,512581.41864234273,1207215.0377601706,207541.88530298,0.6769819842947383,0.3322972517465471,3072,1199,0.3902994791666667,1.9983333333333335,1.772084,1.772084,1.0,1200,0.1953125,0.005859375,0.005,0.31114947754169414,0.1719179092467625
5,11,94,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user1_position7_activity3/20250813=192335_mimo5s_part0.csv,1,7,3,17,26112,3700,402,93,14,13,2157089.7192450254,4445685.46753349,1630648.1327349762,1292625.5789991922,299202.25908597733,0.8396396113077916,0.16898783887220648,3072,1933,0.6292317708333334,4.440675675675676,3.013305,3.3668078,0.6700196872016291,3093,0.14169730392156862,0.015395220588235295,0.025135135135135135,0.3667934100699382,0.23146862010701733
5,11,95,/home/test/bupt_hjk/sdp_dataset/elderAL/action5_drink_new/user1_position7_activity5/20250813=162920_mimo5s_part0.csv,1,7,5,4,6144,500,12,0,4,2,372943.35235226015,2292415.895857364,1923037.9392295592,1018516.8998444942,685363.5820026291,0.8916985154914506,0.11590586044698455,3072,176,0.057291666666666664,0.704,2.98831,2.98831,1.0,500,0.08138020833333333,0.001953125,0.0,0.8388695710515227,0.6729034953737827
