dataset,combo_index,combo_id,combo_name,model,status,best_val_acc,test_acc,denoise,outliers,calibrate,normalize,interpolate,pipeline_steps,output_dir,duration_sec,error,test_acc_pct,interpolate_method
Widar,21,widar_021,wavelet+iqr+stc+min-max+linear15,mlpmodel,ok,0.706280193236715,0.6818181818181818,wavelet,iqr,stc,min-max,linear15,"{""calibrate"": {""method"": ""stc""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""linear"", ""target_K"": 15}, ""normalize"": {""method"": ""min-max""}, ""outliers"": {""factor"": 1.5, ""method"": ""iqr""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_021+wavelet+iqr+stc+min-max+linear15+mlpmodel,2643.71,,68.18181818181817,linear
Widar,22,widar_022,wavelet+iqr+stc+min-max+cubic15,mlpmodel,ok,0.6869565217391305,0.6808080808080809,wavelet,iqr,stc,min-max,cubic15,"{""calibrate"": {""method"": ""stc""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""cubic"", ""target_K"": 15}, ""normalize"": {""method"": ""min-max""}, ""outliers"": {""factor"": 1.5, ""method"": ""iqr""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_022+wavelet+iqr+stc+min-max+cubic15+mlpmodel,3194.05,,68.08080808080808,cubic
Widar,23,widar_023,wavelet+iqr+stc+min-max+nearest15,mlpmodel,ok,0.6830917874396135,0.6595959595959596,wavelet,iqr,stc,min-max,nearest15,"{""calibrate"": {""method"": ""stc""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""nearest"", ""target_K"": 15}, ""normalize"": {""method"": ""min-max""}, ""outliers"": {""factor"": 1.5, ""method"": ""iqr""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_023+wavelet+iqr+stc+min-max+nearest15+mlpmodel,1798.31,,65.95959595959596,nearest
Widar,24,widar_024,wavelet+iqr+stc+min-max+decimate15,mlpmodel,ok,0.6898550724637681,0.6747474747474748,wavelet,iqr,stc,min-max,decimate15,"{""calibrate"": {""method"": ""stc""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""decimate"", ""target_K"": 15}, ""normalize"": {""method"": ""min-max""}, ""outliers"": {""factor"": 1.5, ""method"": ""iqr""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_024+wavelet+iqr+stc+min-max+decimate15+mlpmodel,1197.53,,67.47474747474747,decimate
Widar,25,widar_025,wavelet+iqr+robust+z-score+linear15,mlpmodel,ok,0.6792270531400966,0.6373737373737374,wavelet,iqr,robust,z-score,linear15,"{""calibrate"": {""method"": ""robust""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""linear"", ""target_K"": 15}, ""normalize"": {""method"": ""z-score""}, ""outliers"": {""factor"": 1.5, ""method"": ""iqr""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_025+wavelet+iqr+robust+z-score+linear15+mlpmodel,1567.9,,63.73737373737374,linear
Widar,26,widar_026,wavelet+iqr+robust+z-score+cubic15,mlpmodel,ok,0.6628019323671498,0.6353535353535353,wavelet,iqr,robust,z-score,cubic15,"{""calibrate"": {""method"": ""robust""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""cubic"", ""target_K"": 15}, ""normalize"": {""method"": ""z-score""}, ""outliers"": {""factor"": 1.5, ""method"": ""iqr""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_026+wavelet+iqr+robust+z-score+cubic15+mlpmodel,2128.6,,63.535353535353536,cubic
Widar,27,widar_027,wavelet+iqr+robust+z-score+nearest15,mlpmodel,ok,0.6666666666666667,0.6292929292929293,wavelet,iqr,robust,z-score,nearest15,"{""calibrate"": {""method"": ""robust""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""nearest"", ""target_K"": 15}, ""normalize"": {""method"": ""z-score""}, ""outliers"": {""factor"": 1.5, ""method"": ""iqr""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_027+wavelet+iqr+robust+z-score+nearest15+mlpmodel,1493.65,,62.929292929292934,nearest
Widar,28,widar_028,wavelet+iqr+robust+z-score+decimate15,mlpmodel,ok,0.6956521739130435,0.6585858585858586,wavelet,iqr,robust,z-score,decimate15,"{""calibrate"": {""method"": ""robust""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""decimate"", ""target_K"": 15}, ""normalize"": {""method"": ""z-score""}, ""outliers"": {""factor"": 1.5, ""method"": ""iqr""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_028+wavelet+iqr+robust+z-score+decimate15+mlpmodel,1211.5,,65.85858585858585,decimate
Widar,29,widar_029,wavelet+iqr+robust+min-max+linear15,mlpmodel,ok,0.5565217391304348,0.5383838383838384,wavelet,iqr,robust,min-max,linear15,"{""calibrate"": {""method"": ""robust""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""linear"", ""target_K"": 15}, ""normalize"": {""method"": ""min-max""}, ""outliers"": {""factor"": 1.5, ""method"": ""iqr""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_029+wavelet+iqr+robust+min-max+linear15+mlpmodel,1615.53,,53.83838383838384,linear
Widar,30,widar_030,wavelet+iqr+robust+min-max+cubic15,mlpmodel,ok,0.5642512077294686,0.5454545454545454,wavelet,iqr,robust,min-max,cubic15,"{""calibrate"": {""method"": ""robust""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""cubic"", ""target_K"": 15}, ""normalize"": {""method"": ""min-max""}, ""outliers"": {""factor"": 1.5, ""method"": ""iqr""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_030+wavelet+iqr+robust+min-max+cubic15+mlpmodel,2140.11,,54.54545454545454,cubic
