dataset,preset,model,status,best_val_acc,test_acc,output_dir,error,test_acc_pct
Widar,robust,lstmmodel,ok,57.29468599033817,0.5808080808080808,/home/test/bupt_hjk/test_wider/result/condition_v2+robust+lstmmodel,,58.080808080808076
Widar,robust,resnet1d,ok,58.84057971014493,0.5656565656565656,/home/test/bupt_hjk/test_wider/result/condition_v2+robust+resnet1d,,56.56565656565656
Widar,robust,resnet2d,ok,60.38647342995169,0.5696969696969697,/home/test/bupt_hjk/test_wider/result/condition_v2+robust+resnet2d,,56.96969696969697
Widar,robust,bilstmattention,ok,58.16425120772947,0.5777777777777777,/home/test/bupt_hjk/test_wider/result/condition_v2+robust+bilstmattention,,57.77777777777777
Widar,robust,efficientnetcsi,failed,,,/home/test/bupt_hjk/test_wider/result/condition_v2+robust+efficientnetcsi,"OutOfMemoryError('CUDA out of memory. Tried to allocate 986.00 MiB. GPU 0 has a total capacity of 79.25 GiB of which 731.25 MiB is free. Including non-PyTorch memory, this process has 78.52 GiB memory in use. Of the allocated memory 77.87 GiB is allocated by PyTorch, and 141.90 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",
Widar,robust,that,ok,62.1256038647343,0.6272727272727273,/home/test/bupt_hjk/test_wider/result/condition_v2+robust+that,,62.727272727272734
Widar,robust,csitime,ok,60.67632850241546,0.5363636363636364,/home/test/bupt_hjk/test_wider/result/condition_v2+robust+csitime,,53.63636363636364
Widar,robust,pa_csi,ok,58.26086956521739,0.5616161616161616,/home/test/bupt_hjk/test_wider/result/condition_v2+robust+pa_csi,,56.16161616161616
Widar,robust,wiflexformer,ok,60.57971014492754,0.5808080808080808,/home/test/bupt_hjk/test_wider/result/condition_v2+robust+wiflexformer,,58.080808080808076
Widar,robust,attentiongru,ok,60.193236714975846,0.5757575757575758,/home/test/bupt_hjk/test_wider/result/condition_v2+robust+attentiongru,,57.57575757575758
Widar,robust,ei,ok,60.0,0.5585858585858586,/home/test/bupt_hjk/test_wider/result/condition_v2+robust+ei,,55.85858585858586
Widar,robust,fewsense,ok,66.57004830917874,0.6323232323232323,/home/test/bupt_hjk/test_wider/result/condition_v2+robust+fewsense,,63.23232323232323
Widar,gesture_recognition,visiontransformercsi,skipped,,,/home/test/bupt_hjk/test_wider/result/condition_v2+gesture_recognition+visiontransformercsi,skipped_by_config,
Widar,gesture_recognition,mambacsi,skipped,,,/home/test/bupt_hjk/test_wider/result/condition_v2+gesture_recognition+mambacsi,skipped_by_config,
Widar,gesture_recognition,graphneuralcsi,skipped,,,/home/test/bupt_hjk/test_wider/result/condition_v2+gesture_recognition+graphneuralcsi,skipped_by_config,
Widar,gesture_recognition,csimodel,ok,64.15458937198068,0.593939393939394,/home/test/bupt_hjk/test_wider/result/condition_v2+gesture_recognition+csimodel,,59.3939393939394
Widar,gesture_recognition,mlpmodel,ok,70.2415458937198,0.6868686868686869,/home/test/bupt_hjk/test_wider/result/condition_v2+gesture_recognition+mlpmodel,,68.68686868686868
Widar,gesture_recognition,cnn1dmodel,ok,64.73429951690821,0.6383838383838384,/home/test/bupt_hjk/test_wider/result/condition_v2+gesture_recognition+cnn1dmodel,,63.83838383838384
Widar,gesture_recognition,cnn2dmodel,failed,,,/home/test/bupt_hjk/test_wider/result/condition_v2+gesture_recognition+cnn2dmodel,"OutOfMemoryError('CUDA out of memory. Tried to allocate 23.44 GiB. GPU 0 has a total capacity of 79.25 GiB of which 22.10 GiB is free. Including non-PyTorch memory, this process has 57.13 GiB memory in use. Of the allocated memory 56.58 GiB is allocated by PyTorch, and 48.43 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",
Widar,gesture_recognition,lstmmodel,ok,57.77777777777778,0.5757575757575758,/home/test/bupt_hjk/test_wider/result/condition_v2+gesture_recognition+lstmmodel,,57.57575757575758
Widar,gesture_recognition,resnet1d,ok,63.091787439613526,0.604040404040404,/home/test/bupt_hjk/test_wider/result/condition_v2+gesture_recognition+resnet1d,,60.4040404040404
