dataset,combo_id,model,status,test_acc,test_acc_pct,denoise,outliers,calibrate,normalize,interpolate,interpolation_method,source_file
Widar,widar_067,mlpmodel,ok,0.7343434343434343,73.43434343434343,butterworth_o5_c0.3,iqr,linear,z-score,nearest15,nearest,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_068,mlpmodel,ok,0.7535353535353535,75.35353535353535,butterworth_o5_c0.3,iqr,linear,z-score,decimate15,decimate,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_069,mlpmodel,ok,0.7111111111111111,71.11111111111111,butterworth_o5_c0.3,iqr,linear,min-max,linear15,linear,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_070,mlpmodel,ok,0.7212121212121212,72.12121212121212,butterworth_o5_c0.3,iqr,linear,min-max,cubic15,cubic,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_071,mlpmodel,ok,0.7161616161616161,71.6161616161616,butterworth_o5_c0.3,iqr,linear,min-max,nearest15,nearest,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_072,mlpmodel,ok,0.705050505050505,70.5050505050505,butterworth_o5_c0.3,iqr,linear,min-max,decimate15,decimate,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_073,mlpmodel,ok,0.7242424242424242,72.42424242424242,butterworth_o5_c0.3,iqr,polynomial_d3,z-score,linear15,linear,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_074,mlpmodel,ok,0.7161616161616161,71.6161616161616,butterworth_o5_c0.3,iqr,polynomial_d3,z-score,cubic15,cubic,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_075,mlpmodel,ok,0.7303030303030303,73.03030303030303,butterworth_o5_c0.3,iqr,polynomial_d3,z-score,nearest15,nearest,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_076,mlpmodel,ok,0.7252525252525253,72.52525252525253,butterworth_o5_c0.3,iqr,polynomial_d3,z-score,decimate15,decimate,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
