variant,amplitude_max_abs_error,adjacent_phase_jump_early_mean_rad,adjacent_phase_jump_late_mean_rad,late_relative_rotation_mean_rad,late_relative_rotation_gt_pi_over_2,late_relative_rotation_gt_3pi_over_4,phase_channel_std,zscore_amplitude_channel_std,zscore_phase_to_amplitude_std_ratio,minmax_amplitude_channel_std,minmax_phase_to_amplitude_std_ratio,minmax_exact_zero_fraction,linear_cancellation_ratio_mean,linear_cancellation_ratio_p10,linear_cancellation_ratio_lt_0_5,linear_late_minus_early_ratio,cubic_cancellation_ratio_mean,cubic_cancellation_ratio_p10,cubic_cancellation_ratio_lt_0_5,cubic_late_minus_early_ratio,sample_index,length
linear_reference,7.62939453125e-06,0.11394891887903214,0.11544474214315414,0.795929491519928,0.0,0.0,0.3220754563808441,1.0,0.3220754563808441,0.15643530133479328,2.0588412821960045,0.00042815766276287624,0.9994417273704123,0.9984193253397022,0.0,-2.870446845248953e-05,1.0015480469515643,0.9996233042863385,0.0,-4.691581629412411e-06,1,2647
common_only,0.0,0.8344613313674927,0.8283107280731201,0.0,0.0,0.0,1.8142529726028442,1.0,1.8142529726028442,0.15643529707458884,11.597465575418077,0.0004365529110523444,0.9491339749500483,0.91529022825311,0.0,0.0007457349906873079,0.9958041965199906,0.9775871148161864,0.0,0.00014142005161543736,1,2647
detrend_first50_only,7.62939453125e-06,1.1682637929916382,1.503320336341858,1.4705345630645752,0.45039734293216477,0.2507694715425948,1.8202714920043945,1.0,1.8202714920043945,0.1564352970874383,11.635938473572034,0.00042815766276287624,0.8349865104820784,0.524030678143873,0.09232254543928137,-0.06877090924332907,0.9241431784569012,0.6033577800891624,0.06116777903706502,-0.03864340655894549,1,2647
detrend_fullspan50_only,7.62939453125e-06,1.4566715955734253,1.5511356592178345,1.550016164779663,0.47881127514911226,0.24557010450901628,1.8142807483673096,1.0,1.8142807483673096,0.15643529295593106,11.597643435093675,0.00042815766276287624,0.8326284008095942,0.5262323346521268,0.08999706166309869,-0.00374570083603476,0.9433992010256904,0.6250040643106822,0.055257524241279436,0.005570910914252325,1,2647
robust_shared_first50,7.62939453125e-06,0.8344613313674927,0.8283107280731201,3.2860963727898707e-08,0.0,0.0,1.8143768310546875,0.9999999999999999,1.8143768310546877,0.15643530224472615,11.598256947247691,0.00042815766276287624,0.9491339748589644,0.9152902010130481,0.0,0.0007457346539256893,0.9958041964224936,0.9775870501423449,0.0,0.00014141971712267054,1,2647
robust_window_limited,7.62939453125e-06,1.2047141790390015,1.210237979888916,0.7441267967224121,0.21839080459770116,0.13793103448275862,1.8232346773147583,0.9999999999999999,1.8232346773147585,0.15643529718613958,11.65488038895291,0.00042815766276287624,0.8857526688510877,0.6700826822408806,0.03506695210510851,-0.0016132780255744272,0.9559429994576202,0.7702274729127163,0.0406330017210259,-0.001968573825773534,1,2647
robust_fullspan50,7.62939453125e-06,1.4767122268676758,1.5320727825164795,1.5142533779144287,0.47036013007112176,0.22894604135148763,1.807975172996521,1.0000000000000002,1.8079751729965206,0.1564352954256456,11.557335370366335,0.0004365529110523444,0.8275526043465592,0.511611773885947,0.09519372035427948,-0.009487306504543214,0.9337109216822838,0.6269808125024383,0.05715485035469924,-0.007121562839481954,1,2647
robust_first50,7.62939453125e-06,1.1145942211151123,1.4771392345428467,1.4813860654830933,0.4525536021701706,0.2114872971986019,1.8146519660949707,0.9999999999999998,1.8146519660949711,0.1564353019592244,11.600015746880256,0.00044494815934181255,0.8440621923638023,0.5716608270090358,0.06794274440666583,-0.08227312581593882,0.9438236822286764,0.6971166635587445,0.0331192545019519,-0.05171530846822858,1,2647
no_calibration,3.814697265625e-06,0.6961730718612671,0.6806554198265076,0.00028506244416348636,0.0,0.0,1.8117902278900146,0.9999999999999988,1.8117902278900169,0.15213193153823817,11.90933559819178,0.0005134680134680135,0.9663728009982386,0.93943951478006,0.0003787878787878788,0.0029624128820131546,0.9979237822710209,0.9753814618031451,0.0003787878787878788,0.0010692982932501982,2,2640
linear_reference,7.62939453125e-06,0.19087304174900055,0.1925174742937088,0.6174589991569519,0.0,0.0,0.5757020115852356,0.9999999999999993,0.5757020115852359,0.15213193247297224,3.784228611488353,0.00042087542087542086,0.995470639276211,0.993609849679417,0.000462962962962963,0.00037187328005805487,0.9995023185980151,0.9962848218871119,0.0003956228956228956,-0.0002157625729207746,2,2640
common_only,0.0,0.6964442133903503,0.6806861758232117,0.0,0.0,0.0,1.8185641765594482,0.9999999999999999,1.8185641765594485,0.15213192860768282,11.953862632275923,0.00042087542087542086,0.9663717129595611,0.9394374142914055,0.0003787878787878788,0.0029605115848233554,0.9979251289581614,0.9753913434514772,0.0003787878787878788,0.0010708381528228283,2,2640
detrend_first50_only,7.62939453125e-06,1.5419549942016602,1.5707811117172241,1.5688683986663818,0.4932950191570881,0.24857192615813306,1.8142423629760742,1.0000000000000007,1.814242362976073,0.15213193447306816,11.925453845439982,0.0004461279461279461,0.8112555064106279,0.4871364023565166,0.10755050505050505,-0.00020986092047481364,0.9238720087918015,0.5969928394006413,0.06438552188552188,0.0015615570430483894,2,2640
detrend_fullspan50_only,7.62939453125e-06,1.584074854850769,1.5544133186340332,1.5659433603286743,0.4966388018112156,0.2509926854754441,1.813657283782959,1.0,1.813657283782959,0.152131932549466,11.921608129136496,0.00043771043771043773,0.8118076499118615,0.4836100300648437,0.10968855218855218,-0.007111295534097062,0.9249899611443696,0.5878013893568415,0.06679292929292929,-0.013727995491724654,2,2640
robust_shared_first50,7.62939453125e-06,0.6963348388671875,0.6806861758232117,3.147967930772211e-08,0.0,0.0,1.8190969228744507,1.0,1.8190969228744507,0.15213192932652797,11.957364446289489,0.0004292929292929293,0.9663717126960233,0.9394374290413239,0.0003956228956228956,0.0029605115171361662,0.9979251286181869,0.9753913245228638,0.0003787878787878788,0.0010708378720394318,2,2640
robust_window_limited,7.62939453125e-06,1.5792196989059448,1.5891578197479248,1.5422707796096802,0.4827586206896552,0.3103448275862069,1.8278566598892212,1.0000000000000007,1.82785665988922,0.1521319293561265,12.014944315932398,0.0004292929292929293,0.817694151280215,0.4156820266355563,0.13333333333333333,0.0007606441084474502,0.9358337531485934,0.5780550441229468,0.07617845117845118,0.0011814599801025505,2,2640
robust_fullspan50,7.62939453125e-06,1.569756031036377,1.6033644676208496,1.6088049411773682,0.5185127133402996,0.26926158133054684,1.8212238550186157,1.0000000000000002,1.8212238550186153,0.15213192453865354,11.971345662927448,0.00045454545454545455,0.8113327704691337,0.48494687411069337,0.10873737373737374,-0.0017957834911397352,0.9254597737277759,0.5970963704284046,0.06357744107744108,-0.0002754421001848195,2,2640
robust_first50,7.62939453125e-06,1.5270825624465942,1.6207444667816162,1.6003121137619019,0.5159700452803901,0.25571229536746776,1.825024962425232,0.9999999999999982,1.8250249624252353,0.15213193433958674,11.996330490030036,0.00043771043771043773,0.8110532691575407,0.48328026705046156,0.10953703703703704,-0.01190716742038711,0.9252733694100308,0.5919681585488624,0.06627104377104377,-0.007447764856485017,2,2640
no_calibration,3.814697265625e-06,0.7930729985237122,0.7990145087242126,0.00014813581947237253,0.0,0.0,1.8132094144821167,0.9999999999999988,1.813209414482119,0.15806310683455782,11.471427145741066,0.0003878367784791847,0.9542613508012563,0.9262518339933857,0.0,-0.0008464139626990219,0.9963629153676558,0.9787685745004077,0.0,-0.00023898334104277552,3,2693
linear_reference,7.62939453125e-06,0.11552342027425766,0.11738798767328262,0.7639523148536682,0.0,0.0,0.32264822721481323,0.9999999999999999,0.3226482272148133,0.15806312000617848,2.041261916139586,0.00037958493212856376,0.9994106739857698,0.9982707628216628,0.0,-3.138085972687055e-05,1.0012158096679658,0.9994254556479631,0.0,1.517874208101233e-06,3,2693
common_only,0.0,0.7930727005004883,0.7990201711654663,0.0,0.0,0.0,1.8067102432250977,0.9999999999999999,1.8067102432250979,0.15806310053734465,11.430310028609345,0.0003878367784791847,0.9542616458243588,0.9262511745731701,0.0,-0.0008459494539473367,0.9963632338515318,0.9787700786173578,0.0,-0.00023877285476392451,3,2693
