file_name,frames,values,source_min_length,predicted_bypass,output_exactly_equal_to_input,max_absolute_change,mae,nmae,rmse,nrmse,pearson_r,nonfinite_input_count,nonfinite_output_count
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position4_activity0/20250813=205507_mimo5s_part0.csv,22,33792,28,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position4_activity0/20250813=205514_mimo5s_part0.csv,21,32256,28,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position4_activity0/20250813=205521_mimo5s_part0.csv,30,46080,28,False,False,2532.001586143877,920.8418957084949,1.101664992730061,1024.944030054213,1.101956071566812,-0.2730980652092607,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position4_activity0/20250813=205527_mimo5s_part0.csv,15,23040,28,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position4_activity0/20250813=205533_mimo5s_part0.csv,17,26112,28,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position4_activity0/20250813=205540_mimo5s_part0.csv,11,16896,28,True,True,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position4_activity0/20250813=205546_mimo5s_part0.csv,25,38400,28,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position4_activity0/20250813=205552_mimo5s_part0.csv,38,58368,28,False,False,3045.8551627525385,825.9248624014538,1.0009266665184748,933.5646777781104,1.0142223497796898,-0.040095281318301534,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position4_activity0/20250813=205558_mimo5s_part0.csv,18,27648,28,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position4_activity0/20250813=205604_mimo5s_part0.csv,18,27648,28,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position4_activity0/20250813=205610_mimo5s_part0.csv,17,26112,28,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position4_activity0/20250813=205616_mimo5s_part0.csv,18,27648,28,True,True,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position4_activity0/20250813=205623_mimo5s_part0.csv,21,32256,28,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position5_activity0/20250813=205647_mimo5s_part0.csv,36,55296,28,False,False,2523.669302710214,664.9719587440132,0.752532355075559,780.5214677412526,0.7828509058285458,0.3982536706538878,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position5_activity0/20250813=205654_mimo5s_part0.csv,24,36864,28,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position5_activity0/20250813=205700_mimo5s_part0.csv,17,26112,28,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position5_activity0/20250813=205706_mimo5s_part0.csv,25,38400,28,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position5_activity0/20250813=205713_mimo5s_part0.csv,18,27648,28,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position5_activity0/20250813=205719_mimo5s_part0.csv,31,47616,28,False,False,2537.1451316935563,768.0315068958943,0.8268779110729315,865.7242164764028,0.8384488109039535,0.2891184479942556,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position5_activity0/20250813=205725_mimo5s_part0.csv,14,21504,28,True,True,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position5_activity0/20250813=205731_mimo5s_part0.csv,15,23040,28,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0,0
