run_signature,file_name,record_index,frames,features,antennas,input_representation,input_dtype,max_abs_imaginary,raw_is_nonnegative,raw_negative_rate,method,values,finite_values,nonfinite_count,negative_count_strict,negative_rate_strict,negative_count_meaningful,negative_rate_meaningful,negative_energy_fraction,meaningful_negative_tolerance,step_pairs,rising_step_count,rising_step_rate,falling_step_count,falling_step_rate,flat_step_count,flat_step_rate,zero_crossing_count,zero_crossing_rate,negative_negative_pair_count,negative_negative_pair_rate,comparable_abs_slope_count,abs_slope_direction_disagreement_count,abs_slope_direction_disagreement_rate,meaningful_original_slope_count,abs_slope_direction_changed_or_lost_count,abs_slope_direction_changed_or_lost_rate,minimum,p01,p05,median,p95,p99,maximum,mean,std
1d3a10c5c49669af,03_21_18.npy,0,1000,30,9,real_reader_values_nonnegative,float64,0.0,True,0.0,bandpass_fs1000,270000,270000,0,124689,0.4618111111111111,124687,0.4618037037037037,0.41942309441824294,1.0702540328376998e-05,269730,135880,0.5037630222815408,133812,0.4960960960960961,38,0.00014088162236310385,5763,0.021365810254699143,121634,0.4509472435398361,269691,124478,0.4615578569548113,269692,124479,0.4615598534624683,-6.733639959932078,-3.757002453050055,-2.3494942846152895,0.1248562479393702,2.7360728235944465,4.305044902204,6.02189909547234,0.14158070449379764,1.5421291238297559
1d3a10c5c49669af,03_21_18.npy,0,1000,30,9,real_reader_values_nonnegative,float64,0.0,True,0.0,bandpass_fs200,270000,270000,0,132714,0.4915333333333333,132713,0.49152962962962965,0.5105910559095796,1.0702540328376998e-05,269730,134425,0.4983687391094799,135301,0.5016164312460609,4,1.482964445927409e-05,34469,0.12779075371667964,115322,0.4275460645831016,269725,132474,0.4911446844007786,269726,132475,0.4911465709646085,-8.092021197523247,-3.2194482685674206,-1.8939969575278015,0.018551718764831325,1.886864211041716,2.9478301893805905,8.459557643690527,0.01613559142804443,1.1629865549714842
1d3a10c5c49669af,03_21_18.npy,0,1000,30,9,real_reader_values_nonnegative,float64,0.0,True,0.0,hampel_w5_s3,270000,270000,0,0,0.0,0,0.0,0.0,1.0702540328376998e-05,269730,133953,0.4966188410632855,134170,0.49742334927520115,1607,0.0059578096615133655,0,0.0,0,0.0,268123,0,0.0,268123,0,0.0,0.0,2.2747261026583336,4.255840936134896,10.69963865241835,18.30240045014041,20.442343151483648,27.1846913229576,11.03873167065035,4.372036364157798
1d3a10c5c49669af,03_21_19.npy,0,1000,30,9,real_reader_values_nonnegative,float64,0.0,True,0.0,raw,270000,270000,0,0,0.0,0,0.0,0.0,1.0348020960730601e-05,269730,134884,0.5000704408111816,134842,0.49991472954435917,4,1.482964445927409e-05,0,0.0,0,0.0,269726,0,0.0,269726,0,0.0,0.0,2.3353289241077224,4.03727870337473,10.347760466952149,18.5087712785239,20.60283330434948,41.4140486912749,10.829264459953555,4.4160846089555115
1d3a10c5c49669af,03_21_19.npy,0,1000,30,9,real_reader_values_nonnegative,float64,0.0,True,0.0,wavelet,270000,270000,0,0,0.0,0,0.0,0.0,1.0348020960730601e-05,269730,134301,0.49790902013124233,135415,0.5020390761131502,14,5.1903755607459314e-05,0,0.0,0,0.0,269716,0,0.0,269716,0,0.0,0.2972290841475166,2.394067195723314,4.061788586713473,10.350506674015188,18.37220469352323,20.390959380519437,33.75433599310499,10.829192869661117,4.380906687344036
1d3a10c5c49669af,03_21_19.npy,0,1000,30,9,real_reader_values_nonnegative,float64,0.0,True,0.0,butterworth_o5_c0.3,270000,270000,0,0,0.0,0,0.0,0.0,1.0348020960730601e-05,269730,134166,0.49740851963074184,135555,0.5025581136692248,9,3.33667000333667e-05,0,0.0,0,0.0,269721,0,0.0,269721,0,0.0,0.23639847399525965,2.4090329361358362,4.061462391586106,10.345201560370636,18.378522426365265,20.39860469018853,26.490736719705154,10.829056972850132,4.38176955577487
1d3a10c5c49669af,03_21_19.npy,0,1000,30,9,real_reader_values_nonnegative,float64,0.0,True,0.0,savgol_w7_p3,270000,270000,0,0,0.0,0,0.0,0.0,1.0348020960730601e-05,269730,134635,0.49914729544359177,135090,0.5008341675008342,5,1.8537055574092612e-05,0,0.0,0,0.0,269725,0,0.0,269725,0,0.0,0.29172466789707774,2.4024112559267397,4.058470780881712,10.348000541562952,18.395006322134623,20.411776818032735,27.28321800228093,10.82934462081017,4.384263521659007
1d3a10c5c49669af,03_21_19.npy,0,1000,30,9,real_reader_values_nonnegative,float64,0.0,True,0.0,bandpass_fs1000,270000,270000,0,130137,0.4819888888888889,130137,0.4819888888888889,0.44691590114034246,1.0348020960730601e-05,269730,133823,0.4961368776183591,135875,0.5037444852259667,32,0.00011863715567419272,5764,0.02136951766581396,127084,0.4711526341155971,269697,129925,0.48174432789389576,269698,129926,0.48174624950870976,-8.210211806207168,-3.861944949563377,-2.5426525190599807,0.06131667262526098,2.7779575680533344,4.19391408192369,6.997602590962923,0.09575805420933198,1.6080857484007418
1d3a10c5c49669af,03_21_19.npy,0,1000,30,9,real_reader_values_nonnegative,float64,0.0,True,0.0,bandpass_fs200,270000,270000,0,131620,0.48748148148148146,131619,0.4874777777777778,0.5179837288774445,1.0348020960730601e-05,269730,134699,0.4993845697549401,135027,0.5006006006006006,4,1.482964445927409e-05,32733,0.12135468802135468,115129,0.42683053423794165,269725,131274,0.48669570859208455,269726,131275,0.4866976116503415,-7.735902095423609,-3.5466691286740275,-2.003305363522396,0.029547175621727227,1.8944967011944063,3.234520490879868,12.84087463137125,0.004670224891138264,1.2297084849784519
1d3a10c5c49669af,03_21_19.npy,0,1000,30,9,real_reader_values_nonnegative,float64,0.0,True,0.0,hampel_w5_s3,270000,270000,0,0,0.0,0,0.0,0.0,1.0348020960730601e-05,269730,134183,0.49747154561969376,134079,0.49708597486375267,1468,0.005442479516553591,0,0.0,0,0.0,268262,0,0.0,268262,0,0.0,0.0,2.3410790436449,4.0427280575244655,10.346858707465,18.499890692287146,20.5534663616613,25.7088972407234,10.82917343458364,4.4114325339794025
