variant,amplitude_max_abs_error,adjacent_phase_jump_early_mean_rad,adjacent_phase_jump_late_mean_rad,late_relative_rotation_mean_rad,late_relative_rotation_gt_pi_over_2,late_relative_rotation_gt_3pi_over_4,phase_channel_std,zscore_amplitude_channel_std,zscore_phase_to_amplitude_std_ratio,minmax_amplitude_channel_std,minmax_phase_to_amplitude_std_ratio,minmax_exact_zero_fraction,linear_cancellation_ratio_mean,linear_cancellation_ratio_p10,linear_cancellation_ratio_lt_0_5,linear_late_minus_early_ratio,cubic_cancellation_ratio_mean,cubic_cancellation_ratio_p10,cubic_cancellation_ratio_lt_0_5,cubic_late_minus_early_ratio,sample_index,length
linear_reference,7.62939453125e-06,0.12054287642240524,0.12292604893445969,0.7679185271263123,0.0,0.0,0.34511417150497437,1.0,0.34511417150497437,0.1825289488389324,1.8907366404082608,0.0005476151360823613,0.9993859704707134,0.9980455321570326,0.0,-2.777593676694945e-05,1.0012617850642298,0.9995388680667016,0.0,1.6378781512838003e-05,5,2029
common_only,0.0,0.8028240203857422,0.8055915236473083,0.0,0.0,0.0,1.7897082567214966,1.0,1.7897082567214966,0.18252895235112282,9.805065079641253,0.000624281255133892,0.9537951940057572,0.9281277872518539,0.0,-0.0003435287114251784,0.9961363679141808,0.9787491576089766,0.0,-0.00018609547819903316,5,2029
detrend_first50_only,7.62939453125e-06,1.2452038526535034,1.5449355840682983,1.50961434841156,0.4629667414813303,0.23029313745494118,1.8135924339294434,1.0,1.8135924339294434,0.18252895625245447,9.935916312484014,0.0005914243469689502,0.8450685540494417,0.5311185074223527,0.08820984612014676,-0.07856557605839332,0.9468204511087244,0.6443983625972277,0.05953671759487432,-0.05575706018567872,5,2029
detrend_fullspan50_only,7.62939453125e-06,1.5474028587341309,1.5664640665054321,1.5828018188476562,0.4992405178081571,0.2530776032102292,1.8133713006973267,1.0,1.8133713006973267,0.18252894405406908,9.934705479697325,0.000624281255133892,0.8015309610716761,0.4569039250265912,0.1244181589179125,-0.01492171080576199,0.9095746605616032,0.5514641439813152,0.08058704342588029,-0.0171352350904993,5,2029
robust_shared_first50,7.62939453125e-06,0.8028240203857422,0.8055915236473083,3.270897508400594e-08,0.0,0.0,1.8135125637054443,1.0,1.8135125637054443,0.18252896302018454,9.93547836846529,0.0006023766496905975,0.9537951941318276,0.9281278400297328,0.0,-0.0003435283526427302,0.9961363681764713,0.9787491203127664,0.0,-0.00018609506105227158,5,2029
robust_window_limited,7.62939453125e-06,1.0918803215026855,1.0910700559616089,0.6964706778526306,0.16091954022988506,0.08045977011494253,1.8029321432113647,0.9999999999999999,1.802932143211365,0.18252894594492494,9.877513584915837,0.0006461858605771863,0.9206686346852203,0.8522500677299539,0.03188215322271508,-0.0004491585949828458,0.9889790188531993,0.8994260405966781,0.022408411368490224,-0.0009170866746721629,5,2029
robust_fullspan50,7.62939453125e-06,1.5301185846328735,1.5621397495269775,1.552755355834961,0.49044412704890156,0.24543743907139132,1.8140361309051514,0.9999999999999998,1.8140361309051518,0.18252895568756988,9.938347173859858,0.000624281255133892,0.8044278582717752,0.4608459937405629,0.12155960790756257,-0.0036196563507404633,0.9124595761609325,0.5540591889459902,0.0815398937626636,-0.0030190125196212225,5,2029
robust_first50,7.62939453125e-06,1.0945290327072144,1.5103052854537964,1.4448587894439697,0.4308417783218844,0.22410392436917637,1.8332513570785522,1.0000000000000002,1.8332513570785518,0.1825289472179884,10.043619847810549,0.000624281255133892,0.834688138868497,0.47612578150295276,0.11039921143420404,-0.11363841437148647,0.9215116320892441,0.5562738232476577,0.08023656973878758,-0.09598450797639213,5,2029
no_calibration,3.814697265625e-06,0.7938647270202637,0.795606255531311,0.00024099710572045296,0.0,0.0,1.81203293800354,1.0000000000000002,1.8120329380035396,0.17341414232359859,10.44916472050016,0.0007407407407407407,0.9539218817613799,0.9273369026110722,0.0,-0.00029275216069879484,0.9961522504923831,0.9762593451497081,0.0,-0.00012439376137007851,6,1500
linear_reference,7.62939453125e-06,0.10804238170385361,0.10971234738826752,0.7628291845321655,0.0,0.0,0.3147123157978058,1.0,0.3147123157978058,0.17341414190236118,1.8148019091487988,0.0007111111111111111,0.9994963962519281,0.9984824533858809,0.0,-1.6320719518847504e-05,1.0010861530872635,0.9995441205838408,0.0,-7.495727522011109e-06,6,1500
